,Article_Text,Web_Page_No,Article_URL,Matchd_words,ORG,Money,Other,Dates
33,"Stevens Initiative: Coronavirus Response Fund
Application Deadline:
June 12, 2020
Geographic Scope: USA,Algeria,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Palestinian Territories,Qatar,Saudi Arabia,Syria,Tunisia,United Arab Emirates,Yemen
The Coronavirus Response Fund provides resources to help organizations in the United States and the Middle East and North Africa conduct virtual exchange programs to engage young people and educators affected by the pandemic. Virtual exchange efforts include programs that use online technology to connect individuals and small groups between countries, are based on a curriculum or activity plan, involve qualified facilitators (such as educators or others), and involve sustained communication and collaboration synchronously (in real-time) or asynchronously over a period of time. Activities must be conducted in the United States and in one or more of the following countries: Algeria, Bahrain, Egypt, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Libya, Morocco, Oman, the Palestinian Territories, Qatar, Saudi Arabia, Syria, Tunisia, United Arab Emirates, and Yemen. Programs involving refugees from these countries who are currently in countries not listed are also eligible.
Date Added:
April 24, 2020",1,https://stevensinitiative.smapply.io/prog/stevens_initiative_coronavirus_response_fund/, fund| fund,Stevens Initiative|Coronavirus Response Fund|The Coronavirus Response Fund,,USA|Algeria|Bahrain|Egypt|Iran|Iraq|Israel|Jordan|Kuwait|Lebanon|Libya|Morocco|Oman|Palestinian Territories|Qatar|Saudi Arabia|Syria|Tunisia|United Arab Emirates|Yemen|the United States|the Middle East|North Africa|the United States|Algeria|Bahrain|Egypt|Iran|Iraq|Israel|Jordan|Kuwait|Lebanon|Libya|Morocco|Oman|the Palestinian Territories|Qatar|Saudi Arabia|Syria|Tunisia|United Arab Emirates|Yemen,"June 12, 2020|April 24, 2020"
34,"Rocky Mountain Power Foundation: COVID-19 Relief and Support Funds
Application Deadline:
June 15 and September 15, 2020
Geographic Scope: California,Idaho,Oregon,Utah,Washington,Wyoming
Geographic Focus: Northern California, southeastern Idaho, Oregon, Utah, central/southeastern Washington, and Wyoming
The Rocky Mountain Power Foundation has committed immediate COVID-19 relief support for organizations that provide critical far-reaching services in each of the Foundation’s operating states, with an emphasis on those organizations serving the most at-risk community members.
Date Added:
April 22, 2020",1,https://www.rockymountainpower.net/community/foundation/covid-19-relief-support.html, fund,Rocky Mountain Power Foundation|The Rocky Mountain Power Foundation|Foundation,,California|Idaho|Oregon|Utah|Washington|Wyoming|Northern California|Idaho|Oregon|Utah|Washington|Wyoming,"June 15 and September 15, 2020|April 22, 2020"
35,"COVID-19 Detect and Protect Challenge
Application Deadline:
June 30, 2020
Geographic Scope: Global
The COVID-19 Detect and Protect Challenge, an initiative of the United Nations Development Programme in partnership with Hackster.io, is calling on Hackster's global community to support developing countries through the sharing and transfer of open source technology. The Challenge has three priority actions: 1.) design replicable, low-cost tools to aid in coronavirus detection; 2.) flatten the curve in communities with preventive solutions; and 3.) reduce the disease's impact on economies of these vulnerable areas. Winners can receive up to $25,000 in prizes.
Date Added:
April 15, 2020",1,https://www.covid19detectprotect.org/, aid,Protect Challenge|Protect Challenge|the United Nations Development Programme|Hackster.io|Hackster|Challenge,"up to $25,000",three|1|2|3,"June 30, 2020|April 15, 2020"
36,"Your Community Foundation of North Central West Virginia: Emergency Impact Fund
Application Deadline:
June 30, 2020
Geographic Scope: West Virginia
Geographic Focus: Harrison, Marion, Monongalia, Preston, and Taylor counties
Your Community Foundation of North Central West Virginia’s Emergency Impact Fund is providing grants for unanticipated, additional expenses related to COVID-19. The current focus is on funding organizations providing human services, including emergency food, shelter, and other basic needs.  
Date Added:
April 17, 2020",1,https://www.ycfwv.org/ycf-establishes-emergency-impact-fund-to-aid-in-covid-19-response/, fund| fund| fund,"Community Foundation of North Central West|Harrison, Marion|Taylor|Community Foundation of North Central West|Emergency Impact Fund",,West Virginia|Monongalia|Preston,"June 30, 2020|April 17, 2020"
37,"Whanganui Community Foundation: COVID-19 Response Fund
Application Deadline:
July 1, 2020
Geographic Scope: New Zealand
Geographic Focus: Whanganui, Rangitīkei, and Waimarino
The COVID-19 Response Fund will help organisations in Whanganui, Rangitīkei, and Waimarino to cope with the crisis. The focus is on costs incurred in providing goods, services, projects or activities for members of the community most in need on the basis of COVID-19, particularly the elderly, disadvantaged, and other vulnerable people. Increased or unexpected operational costs related to COVID-19 will also be considered. Grants of up to $5,000 will be provided.
Date Added:
April 21, 2020",1,https://www.whanganuicommunityfoundation.org.nz/page/covid-19-response/41/#c19rf, fund| fund,Whanganui Community Foundation|The COVID-19 Response Fund,"up to $5,000",New Zealand|Waimarino|Whanganui|Rangitīkei|Waimarino,"July 1, 2020|April 21, 2020"
38,"Central Kansas Community Foundation: Central Kansas Community Relief Fund
Application Deadline:
August 31, 2020
Geographic Scope: Kansas
Geographic Focus: The counties of Butler, Elk, Harvey, Marion, Sedgwick (Valley Center), and Wilson
The Central Kansas Community Relief Fund supports effects and recovery efforts stemming from the COVID-19 pandemic across the Central Kansas Community Foundation service region, which includes Butler County, Elk County, Harvey County, Marion County, Sedgwick County (Valley Center), and Wilson County. 
Date Added:
March 27, 2020",1,https://centralkansascf.org/covid-19-response/, fund| fund,Central Kansas Community Foundation|Central Kansas Community Relief Fund|Wilson|The Central Kansas Community Relief Fund|the Central Kansas Community Foundation|Valley Center,,Kansas|Butler County|Elk County|Harvey County|Marion County|Sedgwick County|Wilson County,"August 31, 2020|March 27, 2020"
39,"Foundation for Contemporary Arts: Emergency Grants COVID-19 Fund
Application Deadline:
August 31, 2020
Geographic Scope: USA
The Emergency Grants COVID-19 Fund will disburse $1,500 grants to artists who have had performances or exhibitions canceled or postponed because of the COVID-19 virus. Applicants must be individual artists, or an individual representing an artist collective, ensemble, or group.
Date Added:
April 7, 2020",1,https://foundationforcontemporaryarts.submittable.com/submit/b9feb8b2-3b40-4a12-bee3-b0e71294d17f/fca-emergency-grants-covid-19-fund, fund| fund,Foundation for Contemporary Arts: Emergency Grants COVID-19 Fund,"1,500",,"August 31, 2020|April 7, 2020"
40,"The Red Backpack Fund
Application Deadline:
Applications will be accepted from April through August of 2020.
Geographic Scope: USA
The Red Backpack Fund, an initiative of The Spanx by Sara Blakely Foundation managed by GlobalGiving, will make at least 1,000 grants of $5,000 each to female entrepreneurs in the U.S. to help alleviate the immediate needs and support the long-term recovery of those impacted by this crisis. Eligible applicants include majority women-owned businesses and nonprofits with annual revenues less than $5M, at least one additional paid employee, and fewer than 50 individuals on staff.
Date Added:
April 8, 2020",1,https://www.globalgiving.org/redbackpackfund/, fund| fund,The Red Backpack Fund|The Red Backpack Fund|Sara Blakely Foundation|GlobalGiving,"5,000|less than $5","The Spanx|at least 1,000|U.S.|at least one|fewer than 50","April through August of 2020|annual|April 8, 2020"
41,"Akonadi Foundation: So Love Can Win Rapid Response Fund
Application Deadline:
September 15, 2020
Geographic Scope: California
Geographic Focus: Oakland
The So Love Can Win Rapid Response Fund will provide general operating grants of up to $10,000 to support the sustainability and vibrancy of the Oakland, CA, racial justice movement ecosystem during the pandemic. Organizations, groups, formations, or collectives who are based in Oakland and are led by Black, Indigenous, or other people of color are eligible to apply. Applications will be accepted on a rolling basis through September 15, 2020, or until funds are exhausted.
Date Added:
April 14, 2020",1,https://akonadi.org/v2/so-love-can-win/, fund| fund| fund,Akonadi Foundation|CA,"up to $10,000","California|Oakland|Oakland|Oakland|Black, Indigenous","September 15, 2020|September 15, 2020|April 14, 2020"
42,"Greater Manhattan Community Foundation: 2020 COVID-19 Recovery Fund
Application Deadline:
December 31, 2020
Geographic Scope: Kansas
Geographic Focus: Manhattan and Riley County
The 2020 COVID-19 Recovery Fund will support nonprofit organizations, churches, and government agencies who are helping address critical needs as a result of the coronavirus in the Manhattan and the Riley County community.
Date Added:
April 23, 2020",1,https://www.mcfks.org/apply-for-a-grant.cfm, fund| fund,Greater Manhattan Community Foundation|Recovery Fund,,2020|Kansas|Manhattan|Riley County|Manhattan|Riley County,"December 31, 2020|2020|April 23, 2020"
43,"The Foundation for Delaware County: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Pennsylvania
Geographic Focus: Delaware County
The Foundation for Delaware County’s COVID-19 Response Fund supports and strengthens community-led efforts in the county related to the coronavirus pandemic. Priorities include health, economic, and social services for vulnerable citizens, particularly disadvantaged communities, including older adults, people with compromised immune systems, low-wage workers, and the homeless.
Date Added:
April 21, 2020",1,https://delcofoundation.org/apply-for-covid-19-funding/, fund| fund,Foundation|Foundation|Response Fund,,Delaware County|Pennsylvania|Delaware County|Delaware County,"April 21, 2020"
44,"A Better Chicago: Emergency Relief Fund
Application Deadline:
none
Geographic Scope: Illinois
Geographic Focus: Chicago
A Better Chicago is now accepting grant applications for projects and initiatives providing assistance to low-income youth and families experiencing significant hardship due to COVID-19. The focus is on with Black and Latinx youth due to the disproportionate impact of COVID-19 on these communities and the systemic inequities that exist in Chicago. The plan is to make grants ranging from $20,000 to $100,000 over three to six months.
Date Added:
April 9, 2020",1,https://www.abetterchicago.org/emergencyrelief/relief-fund-application, fund,"Better Chicago:|Illinois
Geographic Focus|Better Chicago|Black and Latinx","$20,000 to $100,000",Chicago|Chicago,"three to six months|April 9, 2020"
45,"ACT for Alexandria: COVID-19 Response Fund
Application Deadline:
every Tuesday
Geographic Scope: Virginia
Geographic Focus: Alexandria
ACT for Alexandria is providing COVID-19 response grants, with a focus on critical basic needs (food, shelter, emergency health supplies) and/or adjustments in service delivery models to accommodate these emergency assistance areas. ACT will prioritize requests that assist children and youth and people disproportionately impacted by the crisis including low-wage workers, gig economy workers, people experiencing homelessness or at-risk of experiencing homelessness, healthcare and emergency response workers, and seniors and immigrants, especially those who lack documentation.
Date Added:
April 15, 2020",1,https://www.actforalexandria.org/act-now-covid-19-response-fund, fund,ACT,,Alexandria|Virginia|Alexandria|Alexandria,"every Tuesday|April 15, 2020"
46,"Adirondack Foundation: Special and Urgent Needs Fund
Application Deadline:
none
Geographic Scope: New York
Geographic Focus: Adirondack region of New York
The Special and Urgent Needs Fund is mobilizing resources specifically for COVID-19 response. Applications are accepted from nonprofits, municipalities, and schools supporting critical areas of need, including access to food, child care, critical media, and assistance to low-wage workers and the elderly or small businesses.
Date Added:
April 3, 2020",1,https://www.adirondackfoundation.org/granting/special-and-urgent-needs-fund-sun, fund| fund,The Special and Urgent Needs Fund,,New York|New York,"April 3, 2020"
47,"Albuquerque Community Foundation: Emergency Action Fund
Application Deadline:
none
Geographic Scope: New Mexico
Geographic Focus: Greater Albuquerque area
The Emergency Action Fund supports nonprofit organizations in the Greater Albuquerque area struggling with lost and non-recoverable revenue expenses due to COVID-19.  All grants are unrestricted and will range from $500 to $5,000.
Date Added:
March 24, 2020",1,https://albuquerquefoundation.org/emergency-action-fund.aspx, fund| fund,Albuquerque Community Foundation|The Emergency Action Fund,"500|5,000",New Mexico|Greater Albuquerque|Greater Albuquerque,"March 24, 2020"
48,"Allegany Franciscan Ministries: Coronavirus Relief and Recovery Fund
Application Deadline:
none
Geographic Scope: Florida
Geographic Focus: Palm Beach, Martin, and St. Lucie
The Coronavirus Relief and Recovery Fund provides support to nonprofit organizations providing services to Palm Beach, Martin County, and St. Lucie county residents. Funding priorities include: emergency food, shelter, and other basic needs; expansion of service capacity related to increased demand for direct services; access to healthcare services for uninsured and underinsured clients; and technology and other resources to allow an organization to continue to provide services.
Date Added:
March 24, 2020",1,https://afmfl.org/index.php/coronavirus-resources/, fund| fund| fund,Coronavirus Relief and Recovery Fund,,Florida|Palm Beach|Martin|St. Lucie|Palm Beach|Martin County|St. Lucie,"March 24, 2020"
49,"Amarillo Area Foundation and The Don and Sybil Harrington Foundation: Panhandle Disaster Relief Fund
Application Deadline:
none
Geographic Scope: Texas
Geographic Focus: Panhandle Region
In response to the impact of the COVID-19 pandemic, emergency grants will be funded through the AAF Panhandle Disaster Relief Fund for requests that will meet critical needs. Funding priorities at this time are programs providing food for high-risk populations, direct healthcare services, programs providing childcare for essential workers, and programs designed to diminish the risk of exposure to the virus.
Date Added:
March 31, 2020",1,https://www.amarilloareafoundation.org/covid19_app/, fund| fund| fund| fund,Amarillo Area Foundation|The Don and Sybil Harrington Foundation|Panhandle Disaster Relief Fund,,Texas,"March 31, 2020"
50,"Amazon: Small Business Relief Fund
Application Deadline:
none
Geographic Scope: Washington
Geographic Focus: Seattle (South Lake Union and Regrade neighborhoods)
Amazon’s Small Business Relief Fund aims to help neighborhood small businesses maintain their livelihood, and continue to foster a vibrant community. To be eligible for a grant, recipients must have fewer than 50 employees or less than $7 million in annual revenue.
Date Added:
March 20, 2020",1,https://www.aboutamazon.com/job-creation-and-investment/neighborhood-small-business-relief-fund#what-businesses-qualify-to-apply-for-the-neighborhood-small-business-relief-fund, fund| fund,Amazon|Small Business Relief Fund|Seattle (South Lake Union|Regrade|Amazon|Small Business Relief Fund,less than $7 million,Washington|fewer than 50,"annual|March 20, 2020"
51,"American Documentary: Emergency Fund
Application Deadline:
none
Geographic Scope: USA
American Documentary (AmDoc), the nonprofit organization behind the PBS series POV, is launching a COVID-19 Artist Emergency Fund to support the independent documentary community. The Fund will provide rapid response grants up to $500 to assist artists with basic needs including food, immediate health needs, and insurance premiums. Applications will be reviewed on a rolling basis until the Fund is expired.
Date Added:
April 24, 2020",1,https://www.amdoc.org/pressroom/american-documentary-re-opens-artist-emergency-fund-independent-documentary-community-affected-covid-19-pandemic/, fund| fund| fund| fund,PBS|POV|Artist Emergency Fund|Fund,up to $500,American|American,"April 24, 2020"
52,"American Farmland Trust: Farmer Relief Fund
Application Deadline:
none
Geographic Scope: USA
The Farmer Relief Fund will award farmers with cash grants of up to $1,000 each to help them weather the current storm of market disruptions caused by the coronavirus crisis. Initially, eligible applicants include any small and mid-size direct-market producers.
Date Added:
April 7, 2020",1,https://farmland.org/farmer-relief-fund/, fund| fund,American Farmland Trust|The Farmer Relief Fund,"up to $1,000",,"April 7, 2020"
53,"Arc of Illinois: COVID-19 DD Relief Fund
Application Deadline:
Applications will be accepted until normal services are resumed or funds are all allocated.
Geographic Scope: Illinois
Through the COVID-19 DD Relief Fund, the Arc of Illinois is now accepting applications for time-limited demonstration projects to help providers in Illinois to fill gaps in services that people with developmental disabilities and families are experiencing due to the COVID-19 pandemic. This opportunity is open to community-based organizations that provide supports to people with developmental disabilities who have been affected by the statewide Coronavirus response. There is a total of up to $150,000 available for mini-grants of up to $10,000 each. 
Date Added:
April 9, 2020",1,https://www.thearcofil.org/illinois-council-on-developmental-disabilities-icdd-funding-opportunities/, fund| fund| fund,DD Relief Fund|Coronavirus,"up to $150,000|up to $10,000",Illinois|Illinois|the Arc of Illinois|Illinois,"April 9, 2020"
54,"Arizona Community Foundation: COVID-19 Community Response Fund
Application Deadline:
none
Geographic Scope: Arizona
The COVID-19 Community Response Fund provides immediate relief to nonprofit organizations in Arizona facing an increased demand for services from clients and communities as a result of the COVID-19 outbreak. Once the state of emergency has expired, any remaining funds will support nonprofit organizations impacted by COVID-19 financially as a result of program disruptions or cancellations resulting in revenue loss.
Date Added:
March 24, 2020",1,https://www.azfoundation.org/GrantsLoans/COVID-19ResourcesforNonprofits.aspx, fund| fund| fund,Arizona Community Foundation|Community Response Fund|Community Response Fund,,Arizona|Arizona,"March 24, 2020"
55,"Arkansas Community Foundation: COVID-19 Relief Fund
Application Deadline:
none
Geographic Scope: Arkansas
The COVID-19 Relief Fund provides $1,000 mini-grants to organizations that are supporting immediate COVID-19 response. Nonprofits, schools, churches, hospitals, and government agencies are eligible to apply.
Date Added:
March 23, 2020",1,https://www.arcf.org/responding-to-covid-19-in-arkansas/, fund| fund,Arkansas Community Foundation|The COVID-19 Relief Fund,"1,000",Arkansas,"March 23, 2020"
56,"Arlington Community Foundation: Prompt Response Fund
Application Deadline:
none
Geographic Scope: Virginia
Georgraphic Focus: Arlington
The COVID-19 Prompt Response Fund supports Arlington organizations helping the following populations: the elderly and other high-risk populations, low-income residents experiencing short-term financial crisis due to loss of work or missed work (laid off, quarantined, unable to work due to lack of child care, etc.), residents who are food insecure, residents who have no medical insurance or are underinsured, and nonprofit healthcare workers in need of protective gear and equipment. Grants are awarded for equipment, supplies, resources, and other critical needs for direct release to clients and patients in Arlington, VA.
Date Added:
April 15, 2020",1,https://www.arlcf.org/grants-initiatives/covid-19/, fund| fund,Arlington Community Foundation|Prompt Response Fund|Prompt Response Fund,,Virginia|Arlington|Arlington|Arlington|VA,"April 15, 2020"
57,"Artist Relief
Application Deadline:
none
Geographic Scope: USA
The Artist Relief program is an initiative that provides immediate, unrestricted emergency funding of $5,000 for individual artists throughout the United States, of all disciplines, and resources to help those in need due to the COVID-19 outbreak.
Date Added:
April 9, 2020",1,https://www.artistrelief.org/?mc_cid=5f8243b702&mc_eid=eeb3209ac4, fund,,"5,000",the United States,"April 9, 2020"
58,"Artist Trust: COVID-19 Artist Trust Relief Fund
Application Deadline:
none
Geographic Scope: Washington
The COVID-19 Artist Trust Relief Fund provides rapid response grants supporting critical needs of artists in Washington State whose livelihoods have been impacted by COVID-19. 
Date Added:
March 27, 2020",1,https://artisttrust.submittable.com/submit, fund| fund,Artist Trust|COVID-19 Artist Trust Relief Fund|Artist Trust Relief Fund,,Washington|Washington State,"March 27, 2020"
59,"Arts Administrators of Color: Arts Leaders of Color Emergency Fund
Application Deadline:
none
Geographic Scope: USA
Arts Administrators of Color has created the Arts Leaders of Color Emergency Fund, which supports BIPOC (Black, Indigenous, and People of Color) artists and arts administrators impacted by COVID-19 through $200 microgrants. 
Date Added:
April 22, 2020",1,https://aacnetwork.org/, fund| fund,People of Color,200,,"April 22, 2020"
60,"Arts Council of Greater New Haven: New Haven Creative Sector Relief Fund
Application Deadline:
none
Geographic Scope: Connecticut
Geographic Focus: New Haven
The New Haven Creative Sector Relief Fund will distribute immediate financial assistance to individual creatives and arts institutions most impacted by the Coronavirus 2019 (COVID-19). Applicants can apply on a rolling basis to receive up to $1,000 based on their financial situation, with a priority for low-income individuals and small-budget arts organizations.
Date Added:
March 31, 2020",1,https://www.newhavenarts.org/, fund| fund,Arts Council of Greater New Haven|The New Haven Creative Sector Relief Fund,"up to $1,000",Connecticut|New Haven,"March 31, 2020"
61,"Arts for Illinois Relief Fund
Application Deadline:
none
Geographic Scope: Illinois
The Arts for Illinois Relief Fund provides financial relief to workers and organizations in the creative industries impacted by COVID-19. This includes all artists and artisans, including stage and production members and part-time cultural workers, and large to small arts organizations in all disciplines.
Date Added:
April 7, 2020",1,https://artsforillinois.org/donate-and-apply, fund| fund,Illinois Relief Fund,,Illinois,"April 7, 2020"
62,"ArtsGreensboro: Greensboro Artists Emergency Relief Fund
Application Deadline:
none
Geographic Scope: North Carolina
Geographic Focus: greater Greensboro
The Greensboro Artists Emergency Relief Fund supports artists in need of support due to cancellations from the outbreak of COVID-19. The Fund provides grants to artists in the greater Greensboro area who have lost fees, commissions, sales, and other income-generating activities due to the pandemic.
Date Added:
April 22, 2020",1,https://www.artsgreensboro.org/emergency-fund-artist-application/, fund| fund| fund,Greensboro Artists Emergency Relief Fund,,North Carolina|The Greensboro Artists Emergency Relief Fund|Greensboro,"April 22, 2020"
63,"Australia Council for the Arts: 2020 Resilience Fund
Application Deadline:
none
Geographic Scope: Australia
The 2020 Resilience Fund is designed to provide emergency relief to support the livelihoods, practice, and operations of Australian artists, groups, and organizations during the COVID-19 pandemic.
Date Added:
April 3, 2020",1,https://www.australiacouncil.gov.au/funding/funding-index/2020-resilience-fund/, fund| fund,Australia Council for the Arts|The 2020 Resilience Fund,,2020|Australia|Australian,"April 3, 2020"
64,"Australian Government: Medical Research Future Fund
Application Deadline:
none
Geographic Scope: Australia
The Medical Research Future Fund is granting researchers over $13 million to fast-track research into treatments for COVID-19.
Date Added:
April 1, 2020",1,https://www.health.gov.au/news/research-funding-for-covid-19-treatments, fund| fund,Medical Research Future Fund|The Medical Research Future Fund,over $13 million,Australian|Australia,"April 1, 2020"
65,"Barberton Community Foundation: Emergency Response Fund
Application Deadline:
none
Geographic Scope: Ohio
Geographic Focus: Barberton
The Barberton Community Foundation’s Emergency Response Fund supports organizations working to provide emergency food to insecure families, working in community health, or providing additional services needed to alleviate hardships suffered by Barberton residents.
Date Added:
April 15, 2020",1,https://www.barbertoncf.org/new-emergency-response-fund/, fund| fund,Barberton Community Foundation|The Barberton Community Foundation|Emergency Response Fund,,Ohio|Barberton|Barberton,"April 15, 2020"
66,"Bedfordshire and Luton Community Foundation: Bedfordshire Coronavirus Emergency Fund
Application Deadline:
none
Geographic Scope: United Kingdom
Geographic Focus: Bedfordshire and Luton
The Bedfordshire Coronavirus Emergency Fund will provide support to local charities and groups to enable them to continue helping the vulnerable in the community. Interests include health, social services, initiatives target at children/youth and seniors, nd helping organizations adapt to the pandemic.
Date Added:
April 24, 2020",1,https://www.blcf.org.uk/2020/03/23/bedfordshire-coronavirus-emergency-fund/, fund| fund,Bedfordshire|Luton Community Foundation|Bedfordshire Coronavirus Emergency Fund|Luton|The Bedfordshire Coronavirus Emergency Fund,,United Kingdom|Bedfordshire|nd,"April 24, 2020"
67,"Benton Community Foundation: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Oregon
Geographic Focus: Benton County
The Benton Community Foundation has established a rapid response fund to provide resources to local nonprofit organizations that have expanded their operations or encountered unique funding challenges while responding to COVID-19.
Date Added:
April 15, 2020",1,https://www.bcfgives.org/covid19/, fund| fund| fund,Benton Community Foundation|The Benton Community Foundation,,Oregon|Benton County,"April 15, 2020"
68,"Berkeley Relief Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: Berkeley, CA
The Berkeley City Council has approved $3 million for emergency relief grants to small businesses, nonprofit arts organizations, and residential tenants, that are hardest hit by the COVID-19 pandemic.
Date Added:
April 6, 2020",1,https://berkeleyrelieffund.org/apply/, fund,Berkeley Relief Fund|The Berkeley City Council,$3 million,California|Berkeley,"April 6, 2020"
69,"Berkshire Taconic Community Foundation: COVID-19 Emergency Response Fund for Berkshire County
Application Deadline:
none
Geographic Scope: Massachusetts
Geographic Focus: Berkshire and Columbia counties
Co-led by Berkshire Taconic Community Foundation and Berkshire United Way, the COVID-19 Emergency Response Fund for Berkshire County provides flexible resources to organizations in the region working with communities who are disproportionately impacted by the coronavirus and the economic consequences of the outbreak. Grants will help fund frontline human services organizations that have deep roots in the community and strong experience working with vulnerable populations. These rapid-response grants are designed to address gaps in services and increase capacity of organizations to meet basic needs of individuals and families.
Date Added:
April 21, 2020",1,https://www.berkshiretaconic.org/default.aspx, fund| fund| fund,Berkshire Taconic Community Foundation|Berkshire|Columbia|Berkshire Taconic Community Foundation|Berkshire United Way,,Massachusetts|Berkshire County,"April 21, 2020"
70,"Billings Community Foundation: COVID-19 Community Response Fund
Application Deadline:
none
Geographic Scope: Montana
Geographic Focus: Yellowstone County and surrounding rural communities
The COVID-19 Community Response Fund will provide support to nonprofit organizations in Yellowstone County and surrounding rural communities working with citizens who are disproportionately impacted by COVID-19 and the economic consequences of this pandemic. The Fund's first priority is to support nonprofit organizations providing disaster relief efforts and serving economically vulnerable children, families, and seniors impacted by COVID-19. Grants will range up to $2,500. The Fund grant cycle will remain active until it is depleted.
Date Added:
April 21, 2020",1,https://billingscommunityfoundation.org/response-fund, fund| fund| fund| fund,"Billings Community Foundation|Community Response Fund|Montana
Geographic|Community Response Fund|Fund","up to $2,500",COVID-19|Yellowstone County|Yellowstone County|first,"April 21, 2020"
